orcid,faculties,note
no_orcid_23,mint,hand-classified from publications
no_orcid_2482,tech,hand-classified from publications
no_orcid_2564,mint,hand-classified from publications
no_orcid_2586,mint,hand-classified from publications
no_orcid_2639,mint,hand-classified from publications
no_orcid_2640,mint,hand-classified from publications
no_orcid_265,mint,hand-classified from publications
no_orcid_2656,mint,hand-classified from publications
no_orcid_269,mint,hand-classified from publications
no_orcid_270,mint,hand-classified from publications
no_orcid_2757,mint,hand-classified from publications
no_orcid_2811,jura,hand-classified from publications
no_orcid_2856,sowi,hand-classified from publications
no_orcid_3209,mint,hand-classified from publications
no_orcid_325,mint,hand-classified from publications
no_orcid_3470,mint,hand-classified from publications
no_orcid_3498,mint,hand-classified from publications
no_orcid_3763,mint,hand-classified from publications
no_orcid_3885,mint,hand-classified from publications
no_orcid_3992,mint,hand-classified from publications
no_orcid_4103,tech,hand-classified from publications
no_orcid_434,mint,hand-classified from publications
no_orcid_4520,mint,hand-classified from publications
no_orcid_4521,mint,hand-classified from publications
no_orcid_4529,mint,hand-classified from publications
no_orcid_4530,mint,hand-classified from publications
no_orcid_4551,mint,hand-classified from publications
no_orcid_4555,mint,hand-classified from publications
no_orcid_4579,mint,hand-classified from publications
no_orcid_5076,sowi,hand-classified from publications
no_orcid_564,tech,hand-classified from publications
no_orcid_5649,mint,hand-classified from publications
no_orcid_651,tech,hand-classified from publications
no_orcid_6713,mint,hand-classified from publications
no_orcid_6732,med,hand-classified from publications
no_orcid_682,phil,hand-classified from publications
no_orcid_684,med,hand-classified from publications
no_orcid_7,mint,hand-classified from publications
no_orcid_7100,mint,hand-classified from publications
no_orcid_7101,mint,hand-classified from publications
no_orcid_7178,phil,hand-classified from publications
no_orcid_765,mint,hand-classified from publications
no_orcid_7862,mint,hand-classified from publications
no_orcid_8582,phil,hand-classified from publications
no_orcid_8617,mint,hand-classified from publications
no_orcid_8631,sowi,hand-classified from publications
no_orcid_8717,mint,hand-classified from publications
no_orcid_8718,mint,hand-classified from publications
no_orcid_8722,mint,hand-classified from publications
